Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-01_S7.metabat.1	root (UID1)	5656	56	24	0.00	0.00	0.00	288092	0	27	27	13161	13161	10670	10670	43964	43964	35.6	1.53	88.55	11	273	56	0	0	0	0	0
20082D-01-01_S7.metabat.10	root (UID1)	5656	56	24	0.00	0.00	0.00	468666	0	72	72	8425	8425	6509	6509	47691	47691	35.5	1.98	83.04	11	531	56	0	0	0	0	0
20082D-01-01_S7.metabat.11	k__Archaea (UID2)	207	149	107	4.21	0.93	0.00	1268657	0	352	352	3890	3890	3604	3604	11891	11891	44.0	1.35	86.86	11	1345	144	4	1	0	0	0
20082D-01-01_S7.metabat.17	k__Bacteria (UID203)	5449	104	58	39.97	1.72	0.00	1791558	0	639	639	2957	2957	2803	2803	9142	9142	60.6	1.84	92.30	11	2352	76	27	1	0	0	0
20082D-01-01_S7.metabat.2	k__Bacteria (UID203)	5449	103	57	28.07	0.00	0.00	956689	0	437	437	2127	2127	2189	2189	6081	6081	30.7	1.85	92.72	11	1080	86	17	0	0	0	0
20082D-01-01_S7.metabat.24	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	252849	0	64	64	4317	4317	3950	3950	8018	8018	44.6	1.05	87.02	11	241	93	11	0	0	0	0
20082D-01-01_S7.metabat.25	root (UID1)	5656	56	24	0.00	0.00	0.00	509106	0	51	51	18868	18868	9982	9982	50188	50188	56.0	1.44	86.62	11	539	56	0	0	0	0	0
20082D-01-01_S7.metabat.27	f__Rhodobacteraceae (UID3360)	56	582	313	3.26	0.00	0.00	403680	0	16	16	47372	47372	25230	25230	71912	71912	57.4	1.05	87.36	11	472	544	38	0	0	0	0
20082D-01-01_S7.metabat.29	k__Bacteria (UID203)	5449	104	58	48.28	6.90	60.00	5604585	0	619	619	11549	11549	9054	9054	64136	64136	44.4	1.42	88.46	11	5053	76	25	2	1	0	0
20082D-01-01_S7.metabat.32	root (UID1)	5656	56	24	0.00	0.00	0.00	269799	0	13	13	58936	58936	20753	20753	87123	87123	34.2	1.59	87.86	11	273	56	0	0	0	0	0
20082D-01-01_S7.metabat.33	k__Bacteria (UID203)	5449	104	58	19.47	0.00	0.00	1009990	0	314	314	3321	3321	3216	3216	12063	12063	41.5	1.49	91.68	11	1190	88	16	0	0	0	0
20082D-01-01_S7.metabat.37	k__Bacteria (UID2569)	434	278	186	34.41	0.00	0.00	1976662	0	8	8	475566	475566	247082	247082	545591	545591	30.5	0.43	92.60	11	1822	187	91	0	0	0	0
20082D-01-01_S7.metabat.41	root (UID1)	5656	56	24	0.00	0.00	0.00	213906	0	9	9	36896	36896	23767	23767	42341	42341	41.1	0.75	90.02	11	210	56	0	0	0	0	0
20082D-01-01_S7.metabat.6	root (UID1)	5656	56	24	0.00	0.00	0.00	271550	0	22	22	20165	20165	12343	12343	36874	36874	45.6	1.45	87.08	11	241	56	0	0	0	0	0
20082D-01-01_S7.metabat.7	root (UID1)	5656	56	24	0.00	0.00	0.00	1190136	0	138	138	12131	12131	8624	8624	66031	66031	52.7	1.57	87.24	11	1354	56	0	0	0	0	0
20082D-01-02_S8.metabat.12	root (UID1)	5656	56	24	4.17	0.00	0.00	216793	0	43	43	5966	5966	5041	5041	18516	18516	54.3	1.80	90.81	11	252	55	1	0	0	0	0
20082D-01-02_S8.metabat.13	root (UID1)	5656	56	24	0.00	0.00	0.00	351253	0	9	9	68276	68276	39028	39028	112032	112032	52.3	1.50	86.77	11	364	56	0	0	0	0	0
20082D-01-02_S8.metabat.14	root (UID1)	5656	56	24	0.00	0.00	0.00	1116847	0	349	349	3414	3414	3200	3200	17462	17462	37.2	2.09	85.71	11	1215	56	0	0	0	0	0
20082D-01-02_S8.metabat.17	root (UID1)	5656	56	24	0.00	0.00	0.00	342504	0	103	103	3621	3621	3325	3325	12319	12319	41.5	1.66	90.94	11	368	56	0	0	0	0	0
20082D-01-02_S8.metabat.20	root (UID1)	5656	56	24	0.00	0.00	0.00	1750345	0	232	232	10613	10613	7544	7544	32288	32288	43.1	1.98	88.81	11	1584	56	0	0	0	0	0
20082D-01-02_S8.metabat.21	root (UID1)	5656	56	24	0.00	0.00	0.00	271019	0	36	36	12141	12141	7528	7528	34404	34404	38.9	1.40	83.72	11	254	56	0	0	0	0	0
20082D-01-02_S8.metabat.24	root (UID1)	5656	56	24	0.00	0.00	0.00	246315	0	48	48	5951	5951	5131	5131	11561	11561	53.5	1.70	88.03	11	269	56	0	0	0	0	0
20082D-01-02_S8.metabat.26	k__Bacteria (UID203)	5449	104	58	11.55	0.00	0.00	968105	0	350	350	2878	2878	2766	2766	7889	7889	57.5	2.12	92.32	11	1195	96	8	0	0	0	0
20082D-01-02_S8.metabat.27	k__Bacteria (UID203)	5449	104	58	8.62	0.00	0.00	1067485	0	364	364	3049	3049	2932	2932	11666	11666	59.1	2.00	91.37	11	1263	99	5	0	0	0	0
20082D-01-02_S8.metabat.28	k__Bacteria (UID203)	5449	104	58	41.38	8.62	100.00	5124065	0	1027	1027	6200	6200	4989	4989	41647	41647	40.2	2.00	87.19	11	5136	78	22	3	1	0	0
20082D-01-02_S8.metabat.29	root (UID1)	5656	56	24	0.00	0.00	0.00	508159	0	40	40	16909	16909	12703	12703	50495	50495	43.2	1.59	87.16	11	435	56	0	0	0	0	0
20082D-01-02_S8.metabat.3	k__Bacteria (UID203)	5449	104	58	39.97	0.00	0.00	4424209	0	550	550	16951	16951	8044	8044	83520	83520	37.6	2.63	85.98	11	4303	75	29	0	0	0	0
20082D-01-02_S8.metabat.30	k__Bacteria (UID203)	5449	104	58	3.61	0.00	0.00	2480702	0	682	682	3929	3929	3637	3637	73092	73092	40.1	1.85	87.42	11	2581	97	7	0	0	0	0
20082D-01-02_S8.metabat.31	root (UID1)	5656	56	24	0.00	0.00	0.00	406979	0	6	6	77798	77798	67829	67829	101930	101930	41.3	0.69	87.22	11	452	56	0	0	0	0	0
20082D-01-02_S8.metabat.35	root (UID1)	5656	56	24	0.00	0.00	0.00	229728	0	26	26	20153	20153	8835	8835	73989	73989	32.9	1.98	90.07	11	189	56	0	0	0	0	0
