Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-01_S7.metabat.1	root (UID1)	5656	56	24	0.00	0.00	0.00	288092	0	27	27	13161	13161	10670	10670	43964	43964	35.6	1.53	88.55	11	273	56	0	0	0	0	0
20082D-01-01_S7.metabat.10	root (UID1)	5656	56	24	0.00	0.00	0.00	468666	0	72	72	8425	8425	6509	6509	47691	47691	35.5	1.98	83.04	11	531	56	0	0	0	0	0
20082D-01-01_S7.metabat.11	k__Archaea (UID2)	207	149	107	4.21	0.93	0.00	1268657	0	352	352	3890	3890	3604	3604	11891	11891	44.0	1.35	86.86	11	1345	144	4	1	0	0	0
20082D-01-01_S7.metabat.12	k__Bacteria (UID2569)	434	278	186	94.96	1.63	50.00	3988051	0	398	398	13418	13418	10020	10020	55609	55609	41.5	1.33	91.53	11	3826	14	260	4	0	0	0
20082D-01-01_S7.metabat.13	c__Gammaproteobacteria (UID4761)	52	693	297	99.33	4.00	20.00	6167572	0	169	169	100009	100009	36494	36494	316519	316519	40.4	2.02	87.98	11	5538	2	665	24	2	0	0
20082D-01-01_S7.metabat.14	s__algicola (UID2847)	33	496	263	66.11	7.31	17.86	2336554	0	690	690	3675	3675	3386	3386	15915	15915	38.0	1.45	92.01	11	2636	190	278	28	0	0	0
20082D-01-01_S7.metabat.15	c__Gammaproteobacteria (UID4787)	26	752	296	83.65	2.20	13.33	3108457	0	296	296	16652	16652	10501	10501	57119	57119	39.9	1.59	89.84	11	2981	156	581	15	0	0	0
20082D-01-01_S7.metabat.16	c__Gammaproteobacteria (UID4761)	52	693	297	91.27	1.75	50.00	3697394	0	254	254	21928	21928	14556	14556	155928	155928	37.7	1.37	85.87	11	3240	43	640	10	0	0	0
20082D-01-01_S7.metabat.17	k__Bacteria (UID203)	5449	104	58	39.97	1.72	0.00	1791558	0	639	639	2957	2957	2803	2803	9142	9142	60.6	1.84	92.30	11	2352	76	27	1	0	0	0
20082D-01-01_S7.metabat.18	f__Rhodobacteraceae (UID3375)	32	625	283	96.55	0.53	50.00	4313733	0	95	95	99441	99441	45407	45407	318073	318073	58.1	1.84	87.78	11	4134	49	574	2	0	0	0
20082D-01-01_S7.metabat.19	k__Bacteria (UID203)	5449	104	58	63.40	24.14	52.63	5240920	0	1321	1321	4711	4711	3967	3967	24402	24402	38.8	1.61	92.57	11	5488	61	31	10	1	1	0
20082D-01-01_S7.metabat.2	k__Bacteria (UID203)	5449	103	57	28.07	0.00	0.00	956689	0	437	437	2127	2127	2189	2189	6081	6081	30.7	1.85	92.72	11	1080	86	17	0	0	0	0
20082D-01-01_S7.metabat.20	k__Bacteria (UID203)	5449	104	58	75.86	0.00	0.00	3352353	0	142	142	58426	58426	23608	23608	173024	173024	61.8	1.72	91.70	11	3327	54	50	0	0	0	0
20082D-01-01_S7.metabat.21	f__Rhodobacteraceae (UID3360)	56	582	313	95.53	2.45	63.64	3716097	0	224	224	23781	23781	16589	16589	96741	96741	58.2	1.35	92.39	11	3706	25	548	8	1	0	0
20082D-01-01_S7.metabat.22	f__Flavobacteriaceae (UID2817)	81	511	283	98.99	0.71	33.33	2546418	0	40	40	180471	180471	63660	63660	442256	442256	30.5	1.56	92.30	11	2381	36	474	0	1	0	0
20082D-01-01_S7.metabat.23	k__Bacteria (UID203)	5449	104	58	78.62	0.00	0.00	2724401	0	171	171	26045	26045	15932	15932	71349	71349	54.7	1.42	92.30	11	2832	49	55	0	0	0	0
20082D-01-01_S7.metabat.24	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	252849	0	64	64	4317	4317	3950	3950	8018	8018	44.6	1.05	87.02	11	241	93	11	0	0	0	0
20082D-01-01_S7.metabat.25	root (UID1)	5656	56	24	0.00	0.00	0.00	509106	0	51	51	18868	18868	9982	9982	50188	50188	56.0	1.44	86.62	11	539	56	0	0	0	0	0
20082D-01-01_S7.metabat.26	f__Flavobacteriaceae (UID2845)	53	548	298	97.08	0.25	100.00	2056186	0	106	106	35282	35282	19397	19397	108010	108010	34.3	1.41	92.55	11	1910	11	534	3	0	0	0
20082D-01-01_S7.metabat.27	f__Rhodobacteraceae (UID3360)	56	582	313	3.26	0.00	0.00	403680	0	16	16	47372	47372	25230	25230	71912	71912	57.4	1.05	87.36	11	472	544	38	0	0	0	0
20082D-01-01_S7.metabat.28	k__Bacteria (UID203)	5449	104	58	66.54	0.00	0.00	4136531	0	545	545	10250	10250	7589	7589	43084	43084	43.8	1.58	88.64	11	3960	61	43	0	0	0	0
20082D-01-01_S7.metabat.29	k__Bacteria (UID203)	5449	104	58	48.28	6.90	60.00	5604585	0	619	619	11549	11549	9054	9054	64136	64136	44.4	1.42	88.46	11	5053	76	25	2	1	0	0
20082D-01-01_S7.metabat.3	k__Bacteria (UID203)	5449	104	58	59.12	18.97	53.85	4519265	0	1166	1166	4519	4519	3875	3875	22935	22935	59.3	2.07	89.39	11	5081	64	31	7	2	0	0
20082D-01-01_S7.metabat.30	c__Gammaproteobacteria (UID4761)	52	693	297	95.40	8.99	12.73	4779121	0	156	156	57118	57118	30635	30635	275686	275686	36.4	1.05	88.02	11	4208	41	597	55	0	0	0
20082D-01-01_S7.metabat.31	f__Rhodobacteraceae (UID3361)	46	654	332	83.40	29.06	10.95	6121099	0	1597	1597	4383	4383	3832	3832	63579	63579	60.1	2.69	90.23	11	7179	124	386	120	21	3	0
20082D-01-01_S7.metabat.32	root (UID1)	5656	56	24	0.00	0.00	0.00	269799	0	13	13	58936	58936	20753	20753	87123	87123	34.2	1.59	87.86	11	273	56	0	0	0	0	0
20082D-01-01_S7.metabat.33	k__Bacteria (UID203)	5449	104	58	19.47	0.00	0.00	1009990	0	314	314	3321	3321	3216	3216	12063	12063	41.5	1.49	91.68	11	1190	88	16	0	0	0	0
20082D-01-01_S7.metabat.34	k__Bacteria (UID203)	5449	104	58	53.76	1.72	100.00	4651507	0	266	266	29937	29937	17486	17486	106331	106331	44.6	1.39	87.89	11	4140	70	33	1	0	0	0
20082D-01-01_S7.metabat.35	k__Bacteria (UID203)	5449	104	58	71.02	101.15	15.05	16580386	0	3132	3132	7018	7018	5293	5293	53561	53561	38.7	2.07	86.89	11	16698	52	15	12	23	2	0
