Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-01_S7.metabat.12	k__Bacteria (UID2569)	434	278	186	94.96	1.63	50.00	3988051	0	398	398	13418	13418	10020	10020	55609	55609	41.5	1.33	91.53	11	3826	14	260	4	0	0	0
20082D-01-01_S7.metabat.13	c__Gammaproteobacteria (UID4761)	52	693	297	99.33	4.00	20.00	6167572	0	169	169	100009	100009	36494	36494	316519	316519	40.4	2.02	87.98	11	5538	2	665	24	2	0	0
20082D-01-01_S7.metabat.16	c__Gammaproteobacteria (UID4761)	52	693	297	91.27	1.75	50.00	3697394	0	254	254	21928	21928	14556	14556	155928	155928	37.7	1.37	85.87	11	3240	43	640	10	0	0	0
20082D-01-01_S7.metabat.18	f__Rhodobacteraceae (UID3375)	32	625	283	96.55	0.53	50.00	4313733	0	95	95	99441	99441	45407	45407	318073	318073	58.1	1.84	87.78	11	4134	49	574	2	0	0	0
20082D-01-01_S7.metabat.21	f__Rhodobacteraceae (UID3360)	56	582	313	95.53	2.45	63.64	3716097	0	224	224	23781	23781	16589	16589	96741	96741	58.2	1.35	92.39	11	3706	25	548	8	1	0	0
20082D-01-01_S7.metabat.22	f__Flavobacteriaceae (UID2817)	81	511	283	98.99	0.71	33.33	2546418	0	40	40	180471	180471	63660	63660	442256	442256	30.5	1.56	92.30	11	2381	36	474	0	1	0	0
20082D-01-01_S7.metabat.26	f__Flavobacteriaceae (UID2845)	53	548	298	97.08	0.25	100.00	2056186	0	106	106	35282	35282	19397	19397	108010	108010	34.3	1.41	92.55	11	1910	11	534	3	0	0	0
20082D-01-01_S7.metabat.39	o__Oceanospirillales (UID4446)	43	529	233	98.39	2.19	11.11	4484320	0	382	382	20786	20786	11739	11739	95095	95095	40.5	2.21	88.68	11	4263	7	513	9	0	0	0
20082D-01-02_S8.metabat.10	o__Rhodospirillales (UID3754)	63	336	201	90.55	1.24	100.00	4130800	0	604	604	9374	9374	6839	6839	70304	70304	53.5	1.65	88.64	11	4240	72	261	3	0	0	0
20082D-01-02_S8.metabat.16	c__Gammaproteobacteria (UID4443)	356	448	269	95.55	0.00	0.00	3328805	0	101	101	59634	59634	32958	32958	165806	165806	65.3	1.89	91.15	11	3143	63	385	0	0	0	0
20082D-01-02_S8.metabat.18	f__Rhodobacteraceae (UID3360)	56	582	313	98.24	0.05	100.00	3394679	0	47	47	171255	171255	72227	72227	448962	448962	60.5	2.18	90.95	11	3297	23	558	1	0	0	0
20082D-01-02_S8.metabat.19	c__Alphaproteobacteria (UID3305)	564	349	230	96.02	0.87	0.00	4709861	0	404	404	17553	17553	11658	11658	59747	59747	60.5	2.06	90.72	11	4673	25	321	3	0	0	0
20082D-01-02_S8.metabat.2	c__Gammaproteobacteria (UID4761)	52	693	297	90.97	1.58	50.00	4098838	0	308	308	29857	29857	13307	13307	122079	122079	43.5	1.79	88.76	11	3755	62	625	6	0	0	0
20082D-01-02_S8.metabat.23	s__algicola (UID2847)	33	496	263	99.24	0.29	0.00	3153257	0	41	41	209222	209222	76908	76908	403732	403732	33.5	1.94	91.14	11	2888	2	492	2	0	0	0
20082D-01-02_S8.metabat.25	f__Rhodobacteraceae (UID3356)	67	615	329	93.01	4.93	12.00	2811807	0	412	412	8869	8869	6824	6824	48461	48461	54.7	1.59	92.15	11	3123	53	537	25	0	0	0
20082D-01-02_S8.metabat.32	c__Gammaproteobacteria (UID4444)	263	506	232	99.15	0.50	50.00	4338764	0	66	66	102389	102389	65738	65738	284928	284928	57.2	2.13	91.89	11	4013	49	455	2	0	0	0
20082D-01-02_S8.metabat.33	s__algicola (UID2846)	47	571	303	99.01	0.55	33.33	4156234	0	151	151	54334	54334	27524	27524	147151	147151	32.5	1.47	91.10	11	3733	6	562	3	0	0	0
