Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
20082D-01-01_S7.metabat.12	k__Bacteria (UID2569)	434	278	186	94.96	1.63	50.00	3988051	0	398	398	13418	13418	10020	10020	55609	55609	41.5	1.33	91.53	11	3826	14	260	4	0	0	0
20082D-01-01_S7.metabat.13	c__Gammaproteobacteria (UID4761)	52	693	297	99.33	4.00	20.00	6167572	0	169	169	100009	100009	36494	36494	316519	316519	40.4	2.02	87.98	11	5538	2	665	24	2	0	0
20082D-01-01_S7.metabat.14	s__algicola (UID2847)	33	496	263	66.11	7.31	17.86	2336554	0	690	690	3675	3675	3386	3386	15915	15915	38.0	1.45	92.01	11	2636	190	278	28	0	0	0
20082D-01-01_S7.metabat.15	c__Gammaproteobacteria (UID4787)	26	752	296	83.65	2.20	13.33	3108457	0	296	296	16652	16652	10501	10501	57119	57119	39.9	1.59	89.84	11	2981	156	581	15	0	0	0
20082D-01-01_S7.metabat.16	c__Gammaproteobacteria (UID4761)	52	693	297	91.27	1.75	50.00	3697394	0	254	254	21928	21928	14556	14556	155928	155928	37.7	1.37	85.87	11	3240	43	640	10	0	0	0
20082D-01-01_S7.metabat.18	f__Rhodobacteraceae (UID3375)	32	625	283	96.55	0.53	50.00	4313733	0	95	95	99441	99441	45407	45407	318073	318073	58.1	1.84	87.78	11	4134	49	574	2	0	0	0
20082D-01-01_S7.metabat.20	k__Bacteria (UID203)	5449	104	58	75.86	0.00	0.00	3352353	0	142	142	58426	58426	23608	23608	173024	173024	61.8	1.72	91.70	11	3327	54	50	0	0	0	0
20082D-01-01_S7.metabat.21	f__Rhodobacteraceae (UID3360)	56	582	313	95.53	2.45	63.64	3716097	0	224	224	23781	23781	16589	16589	96741	96741	58.2	1.35	92.39	11	3706	25	548	8	1	0	0
20082D-01-01_S7.metabat.22	f__Flavobacteriaceae (UID2817)	81	511	283	98.99	0.71	33.33	2546418	0	40	40	180471	180471	63660	63660	442256	442256	30.5	1.56	92.30	11	2381	36	474	0	1	0	0
20082D-01-01_S7.metabat.23	k__Bacteria (UID203)	5449	104	58	78.62	0.00	0.00	2724401	0	171	171	26045	26045	15932	15932	71349	71349	54.7	1.42	92.30	11	2832	49	55	0	0	0	0
20082D-01-01_S7.metabat.26	f__Flavobacteriaceae (UID2845)	53	548	298	97.08	0.25	100.00	2056186	0	106	106	35282	35282	19397	19397	108010	108010	34.3	1.41	92.55	11	1910	11	534	3	0	0	0
20082D-01-01_S7.metabat.28	k__Bacteria (UID203)	5449	104	58	66.54	0.00	0.00	4136531	0	545	545	10250	10250	7589	7589	43084	43084	43.8	1.58	88.64	11	3960	61	43	0	0	0	0
20082D-01-01_S7.metabat.30	c__Gammaproteobacteria (UID4761)	52	693	297	95.40	8.99	12.73	4779121	0	156	156	57118	57118	30635	30635	275686	275686	36.4	1.05	88.02	11	4208	41	597	55	0	0	0
20082D-01-01_S7.metabat.34	k__Bacteria (UID203)	5449	104	58	53.76	1.72	100.00	4651507	0	266	266	29937	29937	17486	17486	106331	106331	44.6	1.39	87.89	11	4140	70	33	1	0	0	0
20082D-01-01_S7.metabat.36	k__Bacteria (UID203)	5449	104	58	53.45	0.00	0.00	3561485	0	213	213	24757	24757	16720	16720	108081	108081	38.4	1.01	88.13	11	3223	70	34	0	0	0	0
20082D-01-01_S7.metabat.38	k__Bacteria (UID2569)	434	278	186	65.59	0.27	0.00	2561827	0	12	12	262289	262289	213485	213485	1146867	1146867	31.4	0.73	93.76	11	2075	91	186	1	0	0	0
20082D-01-01_S7.metabat.39	o__Oceanospirillales (UID4446)	43	529	233	98.39	2.19	11.11	4484320	0	382	382	20786	20786	11739	11739	95095	95095	40.5	2.21	88.68	11	4263	7	513	9	0	0	0
